City,GroceriesRound,Groceries,Restaurant,PublicTransport,GasRound,Gas,RentRound,Rent,BuyApartment,Entertainment,Cost of Living Index,Cost of Living Plus Rent Index,FoodAndEnt,Transport,Total,FoodEntPercent,RentPercent,TransportPercent
New York,5.36,5.358172121,75,2.75,0.74,0.743572581,2514.66,2514.657959,10047.27305,15,100,100,95.36,3.49,2613.51,3.6,96.2,0.1
Los Angeles,4.01,4.012839889,60,1.75,0.87,0.867230077,1853.68,1853.67993,5518.824332,15,82.3,75.77,79.01,2.62,1935.31,4.1,95.8,0.1
Chicago,3.81,3.813621326,60,2.5,0.77,0.765477371,1465.37,1465.368031,2600.673511,12.25,80.16,68.85,76.06,3.27,1544.7,4.9,94.9,0.2
Houston,3.36,3.355611177,50,1.25,0.58,0.582857902,1149.12,1149.120815,1635.279407,11,70.37,57.7,64.36,1.83,1215.31,5.3,94.6,0.2
Phoenix,3.12,3.122677301,50,2,0.61,0.607551712,951.11,951.1073611,1679.031501,10,"66.87	","50.69	",63.12,2.61,1016.84,6.2,93.5,0.3
Philadelphia,4.04,4.038184407,55,2.5,0.7,0.698181608,1262.01,1262.0125,1999.659488,12,83.46,66.4,71.04,3.2,1336.25,5.3,94.4,0.2
San Antonio,2.89,2.888431817,30,1.3,0.58,0.580000772,785.87,785.8666667,1216.888373,11,60.92,48.18,43.89,1.88,831.64,5.3,94.5,0.2
San Diego,3.7,3.698187189,60,2.5,0.85,0.853428682,1639.81,1639.808418,4682.271516,14,77.01,69.73,77.7,3.35,1720.86,4.5,95.3,0.2
Dallas,3.25,3.254913986,45,2.5,0.6,0.600836914,1139.82,1139.823086,1780.14153,11,65.94,54.7,59.25,3.1,1202.17,4.9,94.8,0.3
San Jose,4.16,4.158086573,60,2,0.83,0.830750027,2272.88,2272.877311,6109.412657,12.5,"82.87	",82.36,76.66,2.83,2352.37,3.3,96.6,0.1
Austin,3.63,3.634401231,55,1.25,0.59,0.590026123,1350.05,1350.051551,2899.592521,12,72.46,"61.53	",70.63,1.84,1422.52,5,94.9,0.1
Jacksonville,3.84,3.843810649,50,1.5,0.64,0.642290351,948.24,948.2352941,1087.673224,12,73.58,53.66,65.84,2.14,1016.22,6.5,93.3,0.2
Fort Worth,3.2,3.1961378,47.5,2,0.58,0.579098195,951.45,951.4493464,1193.086157,11,"67.81	",52.12,61.7,2.58,1015.73,6.1,93.7,0.3
San Francisco,6.07,6.069752241,75,2.75,0.89,0.887974519,2962.46,2962.460971,10023.1562,14,"97.84	",106.29,95.07,3.64,3061.17,3.1,96.8,0.1
Columbus,3.34,3.335011311,45,2,0.64,0.640296458,935.08,935.0840336,1366.707367,11,69.13,52.92,59.34,2.64,997.06,6,93.8,0.3
Charlotte,4.06,4.060200389,57.5,2.2,0.61,0.611294159,1194.29,1194.2875,1730.811964,10.495,"75.35	","58.60	",72.055,2.81,1269.155,5.7,94.1,0.2
Indianapolis,3.92,3.91748374,50,1.75,0.65,0.654917762,1015.56,1015.555556,960.7123357,10.5,74.72,55.89,64.42,2.4,1082.38,6,93.8,0.2
Seattle,4.99,4.991233892,60,2.75,0.81,0.806247242,1709.51,1709.50995,5012.592411,13,88.04,76.64,77.99,3.56,1791.06,4.4,95.4,0.2
Denver,3.86,3.862414768,60,2.6,0.66,0.655778828,1466.36,1466.35744,3070.248097,12,"77.31	",66.07,75.86,3.26,1545.48,4.9,94.9,0.2
Washington DC,4.74,4.736512589,65,2.6,0.7,0.696416272,1902.45,1902.453125,4499.002184,13.5,91.94,"82.95	",83.24,3.3,1988.99,4.2,95.6,0.2
El Paso,3.39,3.391861176,40,1.5,0.58,0.580619155,576.67,576.6666667,843.3964146,9.25,NA,NA,52.64,2.08,631.39,8.3,91.3,0.3
Boston,4.54,4.542367183,65,2.5,0.68,0.67703364,2104.16,2104.156025,7225.974587,13.5,"87.05	","83.03	",83.04,3.18,2190.38,3.8,96.1,0.1
Nashville,3.59,3.594904378,55,1.75,0.61,0.6085048,1306.15,1306.154762,2131.23676,12,71.88,60.23,70.59,2.36,1379.1,5.1,94.7,0.2
Detroit,3.3,3.300559022,35,2,0.68,0.675254883,927.92,927.9166667,661.5512802,10.75,70.2,53.45,49.05,2.68,979.65,5,94.7,0.3
Portland,4.14,4.140828202,51.5,2.5,0.75,0.754977691,1338.11,1338.109767,3363.181631,12,78.45,65.56,67.64,3.25,1409,4.8,95,0.2
Pittsburgh,4.04,4.043936705,50,2.75,0.73,0.730672593,997.94,997.9409091,1077.857603,10,78.66,59.54,64.04,3.48,1065.46,6,93.7,0.3
